,key,type,label
0,clueweb12-0000tw-00-00000,GPE,France
1,clueweb12-0000tw-00-00000,ORG,us News
2,clueweb12-0000tw-00-00000,PERSON,shaggyshoo
3,clueweb12-0000tw-00-00000,GPE,annecy
4,clueweb12-0000tw-00-00000,GPE,france
5,clueweb12-0000tw-00-00000,GPE,France
6,clueweb12-0000tw-00-00000,DATE,"February 10th, 2012"
7,clueweb12-0000tw-00-00000,DATE,2008
8,clueweb12-0000tw-00-00000,PERSON,mer nb ol
9,clueweb12-0000tw-00-00000,CARDINAL,one
10,clueweb12-0000tw-00-00000,GPE,Tunis
11,clueweb12-0000tw-00-00000,GPE,Tunisia
12,clueweb12-0000tw-00-00000,PRODUCT,WP Cumulus Flash
13,clueweb12-0000tw-00-00000,PERSON,Roy Tanck
14,clueweb12-0000tw-00-00000,PERSON,Luke Morton
15,clueweb12-0000tw-00-00000,ORG,Twitter
16,clueweb12-0000tw-00-00000,ORG,WordPress
17,clueweb12-0000tw-00-00001,ORG,Le Canigou dans la brume rss atom
18,clueweb12-0000tw-00-00001,ORG,us News
19,clueweb12-0000tw-00-00001,LOC,Le Canigou
20,clueweb12-0000tw-00-00001,DATE,"February 10th, 2012"
21,clueweb12-0000tw-00-00001,DATE,2008
22,clueweb12-0000tw-00-00001,PERSON,mer nb ol
23,clueweb12-0000tw-00-00001,CARDINAL,one
24,clueweb12-0000tw-00-00001,GPE,Tunis
25,clueweb12-0000tw-00-00001,GPE,Tunisia
26,clueweb12-0000tw-00-00001,PRODUCT,WP Cumulus Flash
27,clueweb12-0000tw-00-00001,PERSON,Roy Tanck
28,clueweb12-0000tw-00-00001,PERSON,Luke Morton
29,clueweb12-0000tw-00-00001,ORG,Twitter
30,clueweb12-0000tw-00-00001,ORG,WordPress
31,clueweb12-0000tw-00-00002,PERSON,Le manoir derri re le palmier rss
32,clueweb12-0000tw-00-00002,ORG,us News
33,clueweb12-0000tw-00-00002,WORK_OF_ART,Le manoir derri re le palmier
34,clueweb12-0000tw-00-00002,DATE,"February 10th, 2012"
35,clueweb12-0000tw-00-00002,DATE,2008
36,clueweb12-0000tw-00-00002,PERSON,mer nb ol
37,clueweb12-0000tw-00-00002,CARDINAL,one
38,clueweb12-0000tw-00-00002,GPE,Tunis
39,clueweb12-0000tw-00-00002,GPE,Tunisia
40,clueweb12-0000tw-00-00002,PRODUCT,WP Cumulus Flash
41,clueweb12-0000tw-00-00002,PERSON,Roy Tanck
42,clueweb12-0000tw-00-00002,PERSON,Luke Morton
43,clueweb12-0000tw-00-00002,ORG,Twitter
44,clueweb12-0000tw-00-00002,ORG,WordPress
45,clueweb12-0000tw-00-00003,GPE,Le village
46,clueweb12-0000tw-00-00003,ORG,us News
47,clueweb12-0000tw-00-00003,GPE,Le village
48,clueweb12-0000tw-00-00003,ORG,les
49,clueweb12-0000tw-00-00003,DATE,"February 10th, 2012"
50,clueweb12-0000tw-00-00003,GPE,Tags
51,clueweb12-0000tw-00-00003,DATE,2008
52,clueweb12-0000tw-00-00003,PERSON,mer nb ol
53,clueweb12-0000tw-00-00003,CARDINAL,one
54,clueweb12-0000tw-00-00003,GPE,Tunis
55,clueweb12-0000tw-00-00003,GPE,Tunisia
56,clueweb12-0000tw-00-00003,PRODUCT,WP Cumulus Flash
57,clueweb12-0000tw-00-00003,PERSON,Roy Tanck
58,clueweb12-0000tw-00-00003,PERSON,Luke Morton
59,clueweb12-0000tw-00-00003,ORG,Twitter
60,clueweb12-0000tw-00-00003,ORG,WordPress
61,clueweb12-0000tw-00-00004,GPE,Tourelle
62,clueweb12-0000tw-00-00004,ORG,us News
63,clueweb12-0000tw-00-00004,GPE,Tourelle
64,clueweb12-0000tw-00-00004,DATE,"February 10th, 2012"
65,clueweb12-0000tw-00-00004,DATE,2008
66,clueweb12-0000tw-00-00004,PERSON,mer nb ol
67,clueweb12-0000tw-00-00004,CARDINAL,one
68,clueweb12-0000tw-00-00004,GPE,Tunis
69,clueweb12-0000tw-00-00004,GPE,Tunisia
70,clueweb12-0000tw-00-00004,PRODUCT,WP Cumulus Flash
71,clueweb12-0000tw-00-00004,PERSON,Roy Tanck
72,clueweb12-0000tw-00-00004,PERSON,Luke Morton
73,clueweb12-0000tw-00-00004,ORG,Twitter
74,clueweb12-0000tw-00-00004,ORG,WordPress
75,clueweb12-0000tw-00-00006,ORDINAL,first
76,clueweb12-0000tw-00-00006,ORDINAL,first
77,clueweb12-0000tw-00-00006,ORG,Twitter
78,clueweb12-0000tw-00-00006,CARDINAL,Thousands
79,clueweb12-0000tw-00-00007,DATE,"Feb 8, 2012"
80,clueweb12-0000tw-00-00007,CARDINAL,6
81,clueweb12-0000tw-00-00007,DATE,this week
82,clueweb12-0000tw-00-00007,CARDINAL,One
83,clueweb12-0000tw-00-00007,PERSON,Don t
84,clueweb12-0000tw-00-00007,PERSON,Maggie
85,clueweb12-0000tw-00-00007,CARDINAL,one
86,clueweb12-0000tw-00-00007,CARDINAL,one
87,clueweb12-0000tw-00-00007,CARDINAL,only 250
88,clueweb12-0000tw-00-00007,DATE,last week
89,clueweb12-0000tw-00-00007,DATE,a couple days
90,clueweb12-0000tw-00-00007,CARDINAL,one
91,clueweb12-0000tw-00-00007,CARDINAL,three
92,clueweb12-0000tw-00-00007,CARDINAL,two
93,clueweb12-0000tw-00-00007,DATE,Last weekend
94,clueweb12-0000tw-00-00007,PERSON,Luke 12:2-3
